id,label
3300,0
3301,0
3302,0
3303,0
3304,0
3305,0
3306,0
3307,1
3308,0
3309,0
3310,0
3311,0
3312,0
3313,0
3314,1
3315,0
3316,1
3317,1
3318,0
3319,0
3320,1
3321,0
3322,0
3323,1
3324,0
3325,0
3326,1
3327,1
3328,0
3329,1
3330,0
3331,0
3332,0
3333,0
3334,0
3335,0
3336,1
3337,0
3338,0
3339,0
3340,0
3341,0
3342,0
3343,1
3344,0
3345,0
3346,0
3347,0
3348,0
3349,0
3350,0
3351,0
3352,0
3353,0
3354,1
3355,0
3356,0
3357,0
3358,0
3359,0
3360,1
3361,0
3362,0
3363,1
3364,0
3365,0
3366,1
3367,0
3368,1
3369,0
3370,0
3371,0
3372,0
3373,0
3374,0
3375,1
3376,0
3377,1
3378,0
3379,0
3380,0
3381,0
3382,0
3383,0
3384,0
3385,0
3386,0
3387,0
3388,0
3389,0
3390,0
3391,0
3392,0
3393,0
3394,1
3395,0
3396,0
3397,1
3398,0
3399,0
3400,0
3401,1
3402,0
3403,0
3404,0
3405,0
3406,1
3407,0
3408,0
3409,0
3410,0
3411,0
3412,1
3413,0
3414,0
3415,0
3416,0
3417,1
3418,0
3419,0
3420,0
3421,0
3422,1
3423,0
3424,0
3425,1
3426,1
3427,1
3428,0
3429,0
3430,1
3431,1
3432,1
3433,1
3434,0
3435,0
3436,1
3437,0
3438,0
3439,0
3440,0
3441,0
3442,0
3443,0
3444,0
3445,0
3446,1
3447,0
3448,0
3449,0
3450,0
3451,0
3452,0
3453,0
3454,0
3455,0
3456,0
3457,1
3458,0
3459,0
3460,0
3461,1
3462,0
3463,1
3464,0
3465,1
3466,0
3467,0
3468,0
3469,1
3470,0
3471,0
3472,0
3473,0
3474,0
3475,0
3476,0
3477,0
3478,1
3479,0
3480,1
3481,0
3482,1
3483,0
3484,1
3485,0
3486,1
3487,1
3488,0
3489,0
3490,0
3491,0
3492,0
3493,0
3494,0
3495,0
3496,0
3497,0
3498,0
3499,0
3500,0
3501,0
3502,0
3503,0
3504,0
3505,0
3506,1
3507,1
3508,0
3509,1
3510,0
3511,0
3512,0
3513,1
3514,1
3515,0
3516,0
3517,1
3518,1
3519,0
3520,0
3521,0
3522,1
3523,0
3524,0
3525,0
3526,0
3527,0
3528,0
3529,0
3530,0
3531,0
3532,0
3533,0
3534,0
3535,0
3536,0
3537,0
3538,0
3539,0
3540,0
3541,1
3542,1
3543,0
3544,0
3545,0
3546,0
3547,0
3548,0
3549,0
3550,0
3551,0
3552,0
3553,0
3554,0
3555,0
3556,1
3557,0
3558,0
3559,0
3560,0
3561,0
3562,0
3563,0
3564,0
3565,0
3566,0
3567,0
3568,0
3569,0
3570,0
3571,0
3572,0
3573,0
3574,0
3575,0
3576,0
3577,0
3578,1
3579,0
3580,0
3581,0
3582,1
3583,1
3584,0
3585,0
3586,1
3587,0
3588,0
3589,0
3590,1
3591,0
3592,0
3593,0
3594,0
3595,0
3596,0
3597,0
3598,1
3599,0
3600,0
3601,0
3602,0
3603,0
3604,0
3605,0
3606,1
3607,1
3608,1
3609,0
3610,0
3611,0
3612,0
3613,1
3614,1
3615,1
3616,0
3617,0
3618,0
3619,1
3620,0
3621,1
3622,0
3623,1
3624,0
3625,0
3626,0
3627,0
3628,0
3629,0
3630,0
3631,0
3632,0
3633,1
3634,0
3635,0
3636,0
3637,0
3638,0
3639,0
3640,0
3641,1
3642,0
3643,1
3644,1
3645,1
3646,0
3647,0
3648,0
3649,0
3650,1
3651,0
3652,0
3653,0
3654,1
3655,1
3656,0
3657,0
3658,0
3659,0
3660,0
3661,0
3662,1
3663,0
3664,0
3665,0
3666,0
3667,0
3668,0
3669,0
3670,0
3671,1
3672,1
3673,1
3674,0
3675,0
3676,1
3677,0
3678,0
3679,0
3680,0
3681,0
3682,1
3683,1
3684,1
3685,1
3686,0
3687,1
3688,0
3689,0
3690,1
3691,0
3692,0
3693,0
3694,1
3695,0
3696,0
3697,0
3698,1
3699,0
3700,0
3701,0
3702,0
3703,0
3704,0
3705,0
3706,1
3707,1
3708,0
3709,0
3710,0
3711,0
3712,0
3713,0
3714,0
3715,1
3716,1
3717,0
3718,0
3719,0
3720,0
3721,0
3722,0
3723,0
3724,0
3725,1
3726,0
3727,0
3728,0
3729,0
3730,0
3731,1
3732,0
3733,1
3734,0
3735,0
3736,1
3737,0
3738,0
3739,0
3740,0
3741,0
3742,0
3743,1
3744,1
3745,0
3746,0
3747,1
3748,1
3749,0
3750,0
3751,0
3752,1
3753,0
3754,1
3755,0
3756,0
3757,0
3758,0
3759,0
3760,1
3761,0
3762,1
3763,0
3764,0
3765,0
3766,1
3767,1
3768,1
3769,0
3770,1
3771,1
3772,0
3773,0
3774,0
3775,0
3776,0
3777,0
3778,1
3779,0
3780,0
3781,0
3782,0
3783,1
3784,0
3785,0
3786,0
3787,0
3788,0
3789,0
3790,0
3791,0
3792,0
3793,0
3794,1
3795,0
3796,0
3797,1
3798,0
3799,1
3800,0
3801,0
3802,0
3803,0
3804,0
3805,0
3806,0
3807,0
3808,0
3809,1
3810,0
3811,0
3812,1
3813,1
3814,0
3815,0
3816,0
3817,0
3818,0
3819,0
3820,1
3821,1
3822,0
3823,0
3824,0
3825,1
3826,0
3827,0
3828,0
3829,1
3830,0
3831,0
3832,0
3833,0
3834,0
3835,0
3836,0
3837,0
3838,0
3839,0
3840,0
3841,0
3842,0
3843,0
3844,0
3845,0
3846,0
3847,0
3848,1
3849,1
3850,1
3851,0
3852,0
3853,0
3854,0
3855,1
3856,0
3857,0
3858,0
3859,0
3860,0
3861,0
3862,0
3863,0
3864,0
3865,1
3866,0
3867,0
3868,1
3869,0
3870,0
3871,1
3872,0
3873,0
3874,0
3875,0
3876,0
3877,0
3878,0
3879,0
3880,0
3881,0
3882,0
3883,0
3884,0
3885,1
3886,0
3887,0
3888,0
3889,1
3890,0
3891,0
3892,0
3893,0
3894,0
3895,0
3896,1
3897,1
3898,0
3899,1
3900,0
3901,0
3902,0
3903,1
3904,1
3905,1
3906,0
3907,0
3908,0
3909,0
3910,0
3911,1
3912,0
3913,1
3914,0
3915,0
3916,1
3917,0
3918,1
3919,1
3920,0
3921,0
3922,1
3923,0
3924,1
3925,0
3926,1
3927,1
3928,1
3929,1
3930,0
3931,1
3932,0
3933,1
3934,0
3935,0
3936,0
3937,0
3938,1
3939,0
3940,0
3941,1
3942,0
3943,0
3944,0
3945,1
3946,0
3947,0
3948,0
3949,0
3950,0
3951,0
3952,1
3953,0
3954,0
3955,0
3956,0
3957,0
3958,0
3959,0
3960,0
3961,0
3962,1
3963,0
3964,0
3965,0
3966,1
3967,0
3968,0
3969,1
3970,0
3971,0
3972,0
3973,0
3974,1
3975,0
3976,0
3977,0
3978,0
3979,1
3980,0
3981,1
3982,0
3983,0
3984,0
3985,0
3986,0
3987,0
3988,0
3989,0
3990,0
3991,0
3992,0
3993,0
3994,0
3995,0
3996,1
3997,1
3998,0
3999,0
4000,1
4001,0
4002,0
4003,0
4004,0
4005,0
4006,0
4007,0
4008,1
4009,1
4010,0
4011,1
4012,0
4013,1
4014,0
4015,0
4016,0
4017,1
4018,1
4019,1
4020,0
4021,1
4022,0
4023,0
4024,1
4025,0
4026,0
4027,0
4028,0
4029,0
