ID,label
400,1
401,1
402,0
403,1
404,0
405,0
406,1
407,0
408,0
409,1
410,0
411,1
412,1
413,1
414,1
415,0
416,0
417,0
418,1
419,0
420,0
421,1
422,0
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,1
439,0
440,1
441,1
442,0
443,1
444,1
445,1
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,1
456,0
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,0
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,0
491,0
492,1
493,0
494,0
495,1
496,0
497,1
498,1
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,0
511,0
512,1
513,1
514,0
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,0
532,1
533,0
534,1
535,0
536,1
537,1
538,0
539,1
540,1
541,0
542,1
543,1
544,0
545,0
546,1
547,1
548,0
549,1
550,1
551,0
552,0
553,0
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,0
562,0
563,0
564,0
565,0
566,1
567,1
568,0
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,1
578,0
579,1
