sid,label
0,1
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,1
160,1
161,1
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,0
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,1
249,0
250,0
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,1
315,1
316,0
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,0
351,0
352,1
353,1
354,0
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,0
373,1
374,1
375,0
376,1
377,1
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,0
398,1
399,0
400,1
401,0
402,0
403,1
404,1
405,1
406,1
407,1
408,0
409,0
410,0
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,0
