,userId,movieId,rating
0,1,2,3.5
1,1,29,3.5
2,1,32,3.5
3,1,47,3.5
4,1,50,3.5
5,1,112,3.5
6,1,151,4.0
7,1,223,4.0
8,1,253,4.0
9,1,260,4.0
10,1,293,4.0
11,1,296,4.0
12,1,318,4.0
13,1,337,3.5
14,1,367,3.5
15,1,541,4.0
16,1,589,3.5
17,1,593,3.5
18,1,653,3.0
19,1,919,3.5
20,1,924,3.5
21,1,1009,3.5
22,1,1036,4.0
23,1,1079,4.0
24,1,1080,3.5
25,1,1089,3.5
26,1,1090,4.0
27,1,1097,4.0
28,1,1136,3.5
29,1,1193,3.5
30,1,1196,4.5
31,1,1198,4.5
32,1,1200,4.0
33,1,1201,3.0
34,1,1208,3.5
35,1,1214,4.0
36,1,1215,4.0
37,1,1217,3.5
38,1,1219,4.0
39,1,1222,3.5
40,1,1240,4.0
41,1,1243,3.0
42,1,1246,3.5
43,1,1249,4.0
44,1,1258,4.0
45,1,1259,4.0
46,1,1261,3.5
47,1,1262,3.5
48,1,1266,4.0
49,1,1278,4.0
50,1,1291,3.5
51,1,1304,3.0
52,1,1321,4.0
53,1,1333,4.0
54,1,1348,3.5
55,1,1350,3.5
56,1,1358,4.0
57,1,1370,3.0
58,1,1374,4.0
59,1,1387,4.0
60,1,1584,3.5
61,1,1848,3.5
62,1,1920,3.5
63,1,1967,4.0
64,1,1994,3.5
65,1,1997,3.5
66,1,2021,4.0
67,1,2100,4.0
68,1,2118,4.0
69,1,2138,4.0
70,1,2140,4.0
71,1,2143,4.0
72,1,2173,4.0
73,1,2174,4.0
74,1,2193,4.0
75,1,2194,3.5
76,1,2253,3.5
77,1,2288,4.0
78,1,2291,4.0
79,1,2542,4.0
80,1,2628,4.0
81,1,2644,3.5
82,1,2648,3.5
83,1,2664,3.5
84,1,2683,3.5
85,1,2692,3.5
86,1,2716,3.5
87,1,2761,3.0
88,1,2762,4.0
89,1,2804,3.5
90,1,2872,4.0
91,1,2918,3.5
92,1,2944,4.0
93,1,2947,3.5
94,1,2959,4.0
95,1,2968,4.0
96,1,3000,3.5
97,1,3030,3.0
98,1,3037,3.5
99,1,3081,4.0
100,1,3153,4.0
101,1,3265,3.5
102,1,3438,3.5
103,1,3476,3.5
