id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1504295588505939968,1504295588505939968,2022-03-17 05:16:31 ????????????? ????? (????),2022-03-17,05:16:31,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,Worst experience of booking a room with @oyorooms didn't expected this from you. The way your customer care harassed me and my friend is not acceptable. #shameoyo #oyo #CustomerService,en,"[{'screen_name': 'oyorooms', 'name': 'oyo', 'id': '1664721896'}]",[],[],2,0,2,"['shameoyo', 'oyo', 'customerservice']",[],https://twitter.com/Himansh70809561/status/1504295588505939968,False,,0,,,,,,,,[],,,,
1501476158990274563,1501192828839677960,2022-03-09 10:33:07 ????????????? ????? (????),2022-03-09,10:33:07,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,@divya1534 Nice Pic,en,[],[],[],0,0,0,[],[],https://twitter.com/Himansh70809561/status/1501476158990274563,False,,0,,,,,,,,"[{'screen_name': 'divya1534', 'name': 'Divya', 'id': '2912708498'}]",,,,
1498713859732901889,1498488957490847751,2022-03-01 19:36:43 ????????????? ????? (????),2022-03-01,19:36:43,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,@Lucs1590 Ok sure,fr,[],[],[],1,0,1,[],[],https://twitter.com/Himansh70809561/status/1498713859732901889,False,,0,,,,,,,,"[{'screen_name': 'Lucs1590', 'name': 'Lucas Brito', 'id': '1285226816689655808'}]",,,,
1483032422019375105,1483032422019375105,2022-01-17 13:04:17 ????????????? ????? (????),2022-01-17,13:04:17,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,"@TataAIA_Life @policybazaar Worst experience ever of buying a policy from you. It has been more than 45 days since I have paid for my Term Insurance and still policy has not been issued. Even after repeated complaints, there is no update. #shame #tataaia #policybazaar",en,"[{'screen_name': 'policybazaar', 'name': 'policybazaar', 'id': '180740221'}]",[],[],1,0,0,"['shame', 'tataaia', 'policybazaar']",[],https://twitter.com/Himansh70809561/status/1483032422019375105,False,,0,,,,,,,,[],,,,
1480785790045069334,1480779239829819393,2022-01-11 08:16:58 ????????????? ????? (????),2022-01-11,08:16:58,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,@TataAIA_Life I have shared the details in DM,en,[],[],[],2,0,1,[],[],https://twitter.com/Himansh70809561/status/1480785790045069334,False,,0,,,,,,,,"[{'screen_name': 'TataAIA_Life', 'name': 'Tata AIA Life', 'id': '252633405'}]",,,,
1480779239829819393,1480779239829819393,2022-01-11 07:50:56 ????????????? ????? (????),2022-01-11,07:50:56,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,"@policybazaar @TataAIA_Life I booked my term insurance on 1st December 2021 and completed all the formalities and medicals. Still I haven't received any update on my policy, even after repeated calls to customer care there is no one listening. #policybazaar #tataaia",en,"[{'screen_name': 'tataaia_life', 'name': 'tata aia life', 'id': '252633405'}]",[],[],4,0,1,"['policybazaar', 'tataaia']",[],https://twitter.com/Himansh70809561/status/1480779239829819393,False,,0,,,,,,,,[],,,,
1455580293205671947,1455580293205671947,2021-11-02 18:59:19 ????????????? ????? (????),2021-11-02,18:59:19,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,I just published in @TDataScience Finding Patterns In Data Using NMF  https://t.co/bBXg86RrGm  #Python #DataScience #NLP #ArtificiallIntelligence #machinelearning #dataviz #visualization,en,"[{'screen_name': 'tdatascience', 'name': 'towards data science', 'id': '788898706586275840'}]",['https://towardsdatascience.com/finding-pattern-in-data-using-nmf-7b119555cb41?source=social.tw'],[],0,1,1,"['python', 'datascience', 'nlp', 'artificiallintelligence', 'machinelearning', 'dataviz', 'visualization']",[],https://twitter.com/Himansh70809561/status/1455580293205671947,False,,0,,,,,,,,[],,,,
1453761064202485768,1453761064202485768,2021-10-28 19:30:21 ????????????? ????? (????),2021-10-28,19:30:21,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,I just published in @TDataScience Speeding Up Data Analysis  https://t.co/FZfsp8Vr2o  #DataAnalytics #python #DataScientists #datascience #datavisualization #visualization,en,"[{'screen_name': 'tdatascience', 'name': 'towards data science', 'id': '788898706586275840'}]",['https://towardsdatascience.com/speeding-up-data-analysis-d2aa65ff0347?source=social.tw'],[],0,0,9,"['dataanalytics', 'python', 'datascientists', 'datascience', 'datavisualization', 'visualization']",[],https://twitter.com/Himansh70809561/status/1453761064202485768,False,,0,,,,,,,,[],,,,
1453760746966323203,1453760746966323203,2021-10-28 19:29:06 ????????????? ????? (????),2021-10-28,19:29:06,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,I just published in @TDataScience Fetching Mobile Number Details Using Python  https://t.co/Ctu89Z20CN  #Data #DataScientists #python #dataanalysis #MachineLearning #Numbers,en,"[{'screen_name': 'tdatascience', 'name': 'towards data science', 'id': '788898706586275840'}]",['https://towardsdatascience.com/fetching-mobile-number-details-using-python-79077c2ae4f0?source=social.tw'],[],0,2,3,"['data', 'datascientists', 'python', 'dataanalysis', 'machinelearning', 'numbers']",[],https://twitter.com/Himansh70809561/status/1453760746966323203,False,,0,,,,,,,,[],,,,
1448319925878079489,1448319925878079489,2021-10-13 19:09:13 ????????????? ????? (????),2021-10-13,19:09:13,+0300,1286714866380599302,himansh70809561,Himanshu Sharma,,I just published in @TDataScience Plotting &amp; Analyzing Tabular Data  https://t.co/SlkGGdCMkr   #DataScience #DataAnalytics #dataanalysis #Python #Data #DataScientists #analysis #tabulardata #plotting,en,"[{'screen_name': 'tdatascience', 'name': 'towards data science', 'id': '788898706586275840'}]",['https://towardsdatascience.com/plotting-analyzing-tabular-data-9557b85b81a0?source=social.tw'],[],0,0,4,"['datascience', 'dataanalytics', 'dataanalysis', 'python', 'data', 'datascientists', 'analysis', 'tabulardata', 'plotting']",[],https://twitter.com/Himansh70809561/status/1448319925878079489,False,,0,,,,,,,,[],,,,
